subject,group,trial,error
EC_005,EC,73,0.5027083327
EC_005,EC,74,-0.5027083327
EC_005,EC,75,4.0481249949
EC_005,EC,76,-0.7408333324
EC_005,EC,77,1.9579166642
EC_005,EC,78,0.8202083323
EC_005,EC,79,2.2224999972
EC_005,EC,80,4.8154166606
EC_005,EC,81,1.8785416643
EC_005,EC,82,0.4233333328
EC_005,EC,83,1.1112499986
EC_005,EC,84,1.7991666644000002
EC_005,EC,85,4.0481249949
EC_005,EC,86,-0.4497916661
EC_005,EC,87,3.4660416623000003
EC_005,EC,88,0.7408333324
EC_005,EC,89,1.3493749983
EC_005,EC,90,0.1058333332
EC_005,EC,91,3.8364583285
EC_005,EC,92,1.3229166650000002
EC_005,EC,93,2.2489583305000003
EC_005,EC,94,0.3968749995
EC_005,EC,95,1.0847916653
EC_005,EC,96,0.793749999
EC_005,EC,97,-0.0264583333
EC_005,EC,98,3.0427083295
EC_005,EC,99,0.793749999
EC_005,EC,100,-0.5556249993
EC_006,EC,1,11.8533333184
EC_006,EC,2,7.9904166566
EC_006,EC,3,2.2224999972
EC_006,EC,4,8.6518749891
EC_006,EC,5,7.6199999904
EC_006,EC,6,6.2441666588
EC_006,EC,7,2.2224999972
EC_006,EC,8,2.2754166638
EC_006,EC,9,2.2754166638
EC_006,EC,10,4.7360416607
EC_006,EC,11,-1.1641666652
EC_006,EC,12,-1.6139583313
EC_006,EC,13,1.6668749979000002
EC_006,EC,14,-4.1274999948
EC_006,EC,15,3.439583329
EC_006,EC,16,-0.9524999988
EC_006,EC,17,3.6247916621
EC_006,EC,18,-1.0318749987
EC_006,EC,19,5.1329166602
EC_006,EC,20,2.6987499966
EC_006,EC,21,3.3337499958000003
EC_006,EC,22,6.349999992
EC_006,EC,23,3.3866666624
EC_006,EC,24,0.5820833326
EC_006,EC,25,2.3812499970000003
EC_006,EC,26,0.0793749999
EC_006,EC,27,1.3493749983
EC_006,EC,28,5.1329166602
EC_006,EC,29,5.6885416595
EC_006,EC,30,0.8466666656
EC_006,EC,31,7.3024999908
