sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
39,EO-,0.48222336898300056,0.8593562070997987,0.01505028169731887,-0.23667570652687264,2.0746228203629933,4.694932142067945,35274.708811340264
40,EC,1.2054030746387934,1.3486078361114509,-1.7080929454062699,-1.1270849024489444,1.5506177089423798,5.643864580368707,35765.980588040846
40,EO+,0.9303438121420945,0.5232929409588246,-0.6996630382541889,-0.26812512977515984,2.0032162245216885,6.277970650187868,35765.980588040846
40,EO-,0.6276447658591193,0.5338244981983435,-0.12458187239854805,0.02972520122522896,2.0746228203629933,5.112323349791485,35765.980588040846
41,EC,1.1340922691624298,1.276295387092083,-2.1093407448720494,-1.2574800767806398,1.5506177089423798,5.401267496959342,35455.57778110444
41,EO+,0.5488627013575826,0.2882085483997572,-0.680757768004872,-0.30841798555301003,2.0032162245216885,5.6385635672595855,35455.57778110444
41,EO-,0.6139584150717329,1.0603711728739982,-0.027578267421722827,-0.3737818033818453,2.0746228203629933,5.183492564350445,35455.57778110444
42,EC,1.0465935570640443,1.2527422406093693,-1.3669575627098802,-1.0136719964583196,1.5506177089423798,5.986783136613617,35746.696294738955
42,EO+,0.7360805970140957,0.29801895374891224,-0.8460388529858873,-0.31824948667880437,2.0032162245216885,5.971278193038023,35746.696294738955
42,EO-,0.3207879262770453,-0.4119872196913088,0.15784171519392848,0.3498449558396036,2.0746228203629933,5.1104899354545985,35746.696294738955
43,EC,1.1111694481321797,1.1707102358302803,-1.3896738566214724,-0.7325884655817303,1.5506177089423798,5.947060413588467,35691.48161560203
43,EO+,0.6586866144555419,0.3095855928555593,-0.6273675396550483,-0.22927331835681475,2.0032162245216885,5.702983981228924,35691.48161560203
43,EO-,0.4854015050429942,-0.36789940440708746,-0.2614397982772793,0.22535639347322795,2.0746228203629933,5.227623235630714,35691.48161560203
