ID,group,precision_pre,log_precision_pre,precision_post1,log_precision_post1,delta_pi,delta_log_pi,openloop_var_post1,openloop_sd_post1,openloop_mean_post1,visual_var_post1,visual_sd_post1,visual_mean_post1
EO+_020,EO+,0.8531811621764537,-0.1587833716530027,1.111992645948834,0.10615358245115726,0.2588114837723804,0.26493695410415996,1.019155492891451,1.009532313941189,0.7276041657500001,0.1948561831806762,0.44142517279905574,0.06349999992000002
EO+_021,EO+,0.6213295603028263,-0.47589364489713987,0.4308336619988813,-0.8420331984078809,-0.19049589830394498,-0.36613955351074107,1.6550085039985254,1.286471338195502,0.0013229166649999986,0.4104906417441384,0.6406954360256817,-0.7653072907025
EO+_022,EO+,0.1534712618250937,-1.8742419488631181,0.2932556500589376,-1.2267105245960088,0.1397843882338439,0.6475314242671093,0.7188027691779816,0.847822368882764,0.36644791620499995,0.15487114010122652,0.39353670743810737,-0.41010416615
EO+_023,EO+,0.25903415348526315,-1.3507953592377857,0.6038788863368787,-0.5043816204638103,0.34484473285161554,0.8464137387739754,0.4760295126894445,0.6899489203480533,0.19843749974999997,0.12241784602345443,0.3498826174925734,-0.14552083315
EO+_024,EO+,0.32178431134022434,-1.1338737984394582,0.8166136334335566,-0.20258920487286747,0.4948293220933323,0.9312845935665908,0.6534097406078868,0.8083376402270817,0.02645833329999999,0.21727193187775684,0.46612437382929983,-0.5873749992599999
EO-_001,EO-,0.6276090526217336,-0.46583783403714435,0.4371263203398141,-0.8275330630945765,-0.19048273228191953,-0.3616952290574322,0.684990224163241,0.8276413620423045,-0.22820312471249998,0.1690295178867324,0.41113199569813635,-0.3948906245025
EO-_002,EO-,0.5337668257711021,-0.6277961912432325,0.3701984500009408,-0.9937160657749496,-0.1635683757701613,-0.36591987453171715,0.9633023506432499,0.9814796740856379,0.18190104143750002,0.08256877291227856,0.28734782566130296,-0.5483489576425001
EO-_003,EO-,0.2902104987695753,-1.2371487614828796,0.3658209215584001,-1.0056113506794742,0.07561042278882485,0.2315374108034054,3.778528682803684,1.9438437907413455,0.15279687480750007,2.0861006152921164,1.4443339694447805,0.19049999976
EO-_004,EO-,0.1898686320623779,-1.661422856153926,0.6651485629947427,-0.40774486027740403,0.47527993093236476,1.2536779958765218,1.2917375846358534,1.1365463407340035,0.16999479145250002,0.7993378262611609,0.8940569479966927,0.34858854122750005
EO-_005,EO-,0.24692112353877138,-1.3986863312530755,0.22125403637942928,-1.508443751737665,-0.0256670871593421,-0.10975742048458947,1.6537250910966663,1.285972430146411,0.3360208329099999,0.7473551162781809,0.8644970308093491,-0.3287447912525
EO-_006,EO-,0.6724592928846225,-0.39681370036480307,0.25738456675243293,-1.3571839438444333,-0.41507472613218954,-0.9603702434796302,3.1124104619927757,1.7642025002795954,1.6873802062075005,0.3189397735019278,0.5647475307621342,0.08731249988999999
EO-_007,EO-,0.42525696756871745,-0.8550616631990818,0.30452079856414704,-1.18901589017745,-0.1207361690045704,-0.3339542269783681,0.8087794372594507,0.8993216539478245,0.9412552071475003,0.31540724680142695,0.5616112951156048,-0.6058958325700001
